k	Задача	1-hd			1-fd			2-hd			2-fd			3-hd			3-fd			4-hd			4-fd			
0,7	10	6,25	0,69444	0,76786	7,29167	0,81019	0,89583	7,29167	0,81019	0,89583	7,29167	0,81019	0,89583	7,29167	0,81019	0,89583	7,29167	0,81019	0,89583	7,29167	0,81019	0,89583	7,29167	0,81019	0,89583	
0,8	1	4,77778	0,53086	0,98611	4,77778	0,53086	0,98611	4,77778	0,53086	0,98611	4,77778	0,53086	0,98611	4,77778	0,53086	0,98611	4,77778	0,53086	0,98611	4,77778	0,53086	0,98611	4,77778	0,53086	0,98611	
0,8	2	5,5	0,61111	0,73438	7,33333	0,81481	0,97917	5,5	0,61111	0,73438	7,33333	0,81481	0,97917	5,5	0,61111	0,73438	7,33333	0,81481	0,97917	5,5	0,61111	0,73438	7,33333	0,81481	0,97917	
0,8	3	3,61765	0,40196	1	3,61765	0,40196	1	3,61765	0,40196	1	3,61765	0,40196	1	3,61765	0,40196	1	3,61765	0,40196	1	3,61765	0,40196	1	3,61765	0,40196	1	
0,8	4	5,55385	0,61709	1	5,55385	0,61709	1	5,55385	0,61709	1	5,55385	0,61709	1	5,55385	0,61709	1	5,55385	0,61709	1	5,55385	0,61709	1	5,55385	0,61709	1	
0,8	5	6,57895	0,73099	0,98246	6,57895	0,73099	0,98246	6,57895	0,73099	0,98246	6,57895	0,73099	0,98246	6,57895	0,73099	0,98246	6,57895	0,73099	0,98246	6,57895	0,73099	0,98246	6,57895	0,73099	0,98246	
0,8	6	5,82759	0,64751	1	5,82759	0,64751	1	5,82759	0,64751	1	5,82759	0,64751	1	5,82759	0,64751	1	5,82759	0,64751	1	5,82759	0,64751	1	5,82759	0,64751	1	
0,8	7	3,76923	0,4188	0,91346	3,76923	0,4188	0,91346	3,76923	0,4188	0,91346	3,76923	0,4188	0,91346	3,76923	0,4188	0,91346	3,76923	0,4188	0,91346	3,76923	0,4188	0,91346	3,76923	0,4188	0,91346	
0,8	8	6,42623	0,71403	1	6,42623	0,71403	1	6,42623	0,71403	1	6,42623	0,71403	1	6,42623	0,71403	1	6,42623	0,71403	1	6,42623	0,71403	1	6,42623	0,71403	1	
0,8	9	6,52542	0,72505	0,76271	6,52542	0,72505	0,76271	6,52542	0,72505	0,76271	6,52542	0,72505	0,76271	6,52542	0,72505	0,76271	6,52542	0,72505	0,76271	6,52542	0,72505	0,76271	6,52542	0,72505	0,76271	
0,8	10	6,21818	0,69091	0,90909	6,21818	0,69091	0,90909	6,21818	0,69091	0,90909	6,21818	0,69091	0,90909	6,21818	0,69091	0,90909	6,21818	0,69091	0,90909	6,21818	0,69091	0,90909	6,21818	0,69091	0,90909	
0,9	1	10,45714	1,1619	0,82857	10,45714	1,1619	0,82857	10,45714	1,1619	0,82857	10,45714	1,1619	0,82857	10,45714	1,1619	0,82857	10,45714	1,1619	0,82857	10,45714	1,1619	0,82857	10,45714	1,1619	0,82857	
0,9	2	6,25	0,69444	0,96429	6,25	0,69444	0,96429	6,25	0,69444	0,96429	6,25	0,69444	0,96429	6,25	0,69444	0,96429	6,25	0,69444	0,96429	6,25	0,69444	0,96429	6,25	0,69444	0,96429	
0,9	3	7,4898	0,8322	0,97959	7,4898	0,8322	0,97959	7,4898	0,8322	0,97959	7,4898	0,8322	0,97959	7,4898	0,8322	0,97959	7,4898	0,8322	0,97959	7,4898	0,8322	0,97959	7,4898	0,8322	0,97959	
0,9	4	6,55769	0,72863	0,98077	6,55769	0,72863	0,98077	6,55769	0,72863	0,98077	6,55769	0,72863	0,98077	6,55769	0,72863	0,98077	6,55769	0,72863	0,98077	6,55769	0,72863	0,98077	6,55769	0,72863	0,98077	
0,9	5	8,58537	0,95393	1	8,58537	0,95393	1	8,58537	0,95393	1	8,58537	0,95393	1	8,58537	0,95393	1	8,58537	0,95393	1	8,58537	0,95393	1	8,58537	0,95393	1	
0,9	6	10,48485	1,16498	0,93939	11,16129	1,24014	1	10,8125	1,20139	0,96875	11,16129	1,24014	1	10,8125	1,20139	0,96875	11,16129	1,24014	1	10,8125	1,20139	0,96875	11,16129	1,24014	1	
0,9	7	8,76316	0,97368	1	8,76316	0,97368	1	8,76316	0,97368	1	8,76316	0,97368	1	8,76316	0,97368	1	8,76316	0,97368	1	8,76316	0,97368	1	8,76316	0,97368	1	
0,9	8	7,38889	0,82099	0,92593	7,38889	0,82099	0,92593	7,38889	0,82099	0,92593	7,38889	0,82099	0,92593	7,38889	0,82099	0,92593	7,38889	0,82099	0,92593	7,38889	0,82099	0,92593	7,38889	0,82099	0,92593	
0,9	9	8,35	0,92778	0,975	8,35	0,92778	0,975	8,35	0,92778	0,975	8,35	0,92778	0,975	8,35	0,92778	0,975	8,35	0,92778	0,975	8,35	0,92778	0,975	8,35	0,92778	0,975	
0,9	10	4,95833	0,55093	1	4,95833	0,55093	1	4,95833	0,55093	1	4,95833	0,55093	1	4,95833	0,55093	1	4,95833	0,55093	1	4,95833	0,55093	1	4,95833	0,55093	1	
