k	Задача	0				1				2				3				4				5				
0,8	6	5,62338	0,62482	0,54545	96	4,51042	0,50116	0,4375	91	3,49194	0,38799	0,33871	91	7,59649	0,84405	0,73684	203	6,66154	0,74017	0,64615	187	6,98387	0,77599	0,67742	199	
0,8	7	4,42391	0,49155	0,46739	97	4,73256	0,52584	0,5	101	4,11111	0,45679	0,43434	87	9,46512	1,05168	1	178	7,14035	0,79337	0,75439	167	6,46032	0,71781	0,68254	163	
0,8	8	4,4	0,48889	0,77	104	2,9932	0,33258	0,52381	103	3,0137	0,33486	0,5274	82	5,71429	0,63492	1	195	4,19048	0,46561	0,73333	177	5,56962	0,61885	0,97468	174	
0,8	9	3,79817	0,42202	0,31193	98	5,11111	0,5679	0,41975	94	4,54945	0,50549	0,37363	90	6,36923	0,70769	0,52308	209	7,39286	0,82143	0,60714	184	7,66667	0,85185	0,62963	194	
0,8	10	6,27397	0,69711	0,76712	101	4,16364	0,46263	0,50909	100	4,3619	0,48466	0,53333	76	6,63768	0,73752	0,81159	209	5,79747	0,64416	0,70886	192	6,54286	0,72698	0,8	189	
0,9	1	7,69355	0,85484	0,58065	87	6,625	0,73611	0,5	81	6,44595	0,71622	0,48649	84	11,35714	1,2619	0,85714	200	7,81967	0,86885	0,59016	197	7,81967	0,86885	0,59016	191	
0,9	2	4,74468	0,52719	0,7766	98	3,9469	0,43854	0,64602	88	3,7479	0,41643	0,61345	104	6,02703	0,66967	0,98649	210	5,86842	0,65205	0,96053	193	5,06818	0,56313	0,82955	196	
0,9	3	8,39623	0,93291	0,69811	81	6,64179	0,73798	0,55224	91	6,18056	0,68673	0,51389	84	11,125	1,23611	0,925	211	7,54237	0,83804	0,62712	178	7,17742	0,79749	0,59677	178	
0,9	4	8,22641	0,91405	0,79245	80	5,38272	0,59808	0,51852	84	6,22857	0,69206	0,6	88	9,47826	1,05314	0,91304	202	7,14754	0,79417	0,68852	179	7,64912	0,8499	0,73684	176	
0,9	5	8,5	0,94444	0,71429	88	6,8	0,75556	0,57143	100	5,87654	0,65295	0,49383	102	10,57778	1,17531	0,88889	187	7,80328	0,86703	0,65574	219	8,98113	0,9979	0,75472	186	
0,9	6	6,79412	0,7549	0,86765	96	5,5	0,61111	0,70238	112	5,5	0,61111	0,70238	83	7,83051	0,87006	1	229	6,50704	0,723	0,83099	190	7,83051	0,87006	1	184	
0,9	7	6,77778	0,75309	0,85714	94	5,20732	0,57859	0,65854	106	5,61842	0,62427	0,71053	77	7,76364	0,86263	0,98182	210	7,76364	0,86263	0,98182	190	7,625	0,84722	0,96429	188	
0,9	8	8,4717	0,9413	0,73585	86	5,98667	0,66519	0,52	89	6,50725	0,72303	0,56522	73	11,51282	1,2792	1	218	6,70149	0,74461	0,58209	204	7,36066	0,81785	0,63934	219	
0,9	9	5,14773	0,57197	0,61364	99	5,08989	0,56554	0,60674	86	4,71875	0,52431	0,5625	79	6,76119	0,75124	0,80597	220	5,6625	0,62917	0,675	230	6,56522	0,72947	0,78261	197	
0,9	10	8,15385	0,90598	0,94231	80	4,81818	0,53535	0,55682	84	4,87356	0,54151	0,56322	82	8,65306	0,96145	1	197	7,4386	0,82651	0,85965	183	5,72973	0,63664	0,66216	203	
