k	Задача	0				1				2				3				4				5				
0,8	10	6,27184	0,69687	0,41748	170	3,62921	0,40325	0,24157	145	2,93636	0,32626	0,19545	116	8,61333	0,95704	0,57333	450	6,8	0,75556	0,45263	415	7,97531	0,88615	0,53086	399	
0,9	1	8,48684	0,94298	0,60526	129	6,8617	0,76241	0,48936	142	6,08491	0,6761	0,43396	112	8,26923	0,9188	0,58974	450	8,26923	0,9188	0,58974	403	7,77108	0,86345	0,55422	388	
0,9	2	8,47436	0,9416	0,62821	142	6,95789	0,7731	0,51579	168	7,10753	0,78973	0,52688	132	11,20339	1,24482	0,83051	390	7,10753	0,78973	0,52688	344	7,77647	0,86405	0,57647	351	
0,9	3	7,91139	0,87904	0,4557	120	6,06796	0,67422	0,34951	143	7,8125	0,86806	0,45	97	12,01923	1,33547	0,69231	517	8,80282	0,97809	0,50704	461	8,68056	0,96451	0,5	449	
0,9	4	8,68116	0,96457	0,65217	123	6,05051	0,67228	0,45455	138	7,30488	0,81165	0,54878	99	12,22449	1,35828	0,91837	505	8,09459	0,8994	0,60811	498	8,09459	0,8994	0,60811	515	
0,9	5	7,81928	0,86881	0,57831	157	6,24038	0,69338	0,46154	154	5,15079	0,57231	0,38095	109	12,24528	1,36059	0,90566	448	9,83333	1,09259	0,72727	441	7,21111	0,80123	0,53333	453	
0,9	6	8,2027	0,91141	0,51351	158	5,83654	0,6485	0,36538	164	5,46847	0,60761	0,34234	109	8,67143	0,96349	0,54286	406	10,64912	1,18324	0,66667	357	9,63492	1,07055	0,60317	314	
0,9	7	8,51316	0,94591	0,71053	128	5,67544	0,6306	0,47368	142	5,52991	0,61443	0,46154	104	10,9661	1,21846	0,91525	520	8,29487	0,92165	0,69231	564	9,24286	1,02698	0,77143	480	
0,9	8	8,95775	0,99531	0,74648	125	4,93023	0,5478	0,41085	150	5,53043	0,61449	0,46087	117	11,56364	1,28485	0,96364	453	7,95	0,88333	0,6625	457	8,71233	0,96804	0,72603	398	
0,9	9	8,33333	0,92593	0,66667	140	6,18812	0,68757	0,49505	158	7,18391	0,79821	0,57471	107	11,57407	1,28601	0,92593	476	7,8125	0,86806	0,625	406	8,33333	0,92593	0,66667	390	
0,9	10	8,2125	0,9125	0,6	160	5,86607	0,65179	0,42857	130	6,19811	0,68868	0,45283	138	10,10769	1,12308	0,73846	438	8,64474	0,96053	0,63158	416	7,63953	0,84884	0,55814	401	
